word_or_phrase,frequency
состояние,3
оказать,3
подходящий,3
требование,3
успешный,3
становиться,3
сталкиваться,3
очередной,3
мимо,3
работник,3
ксения,3
видимо,3
доброжелательность,3
потребитель,3
отметить,3
терпение,3
тау,3
потрясать,3
котором,3
асортимент,3
процесс,3
ассортименте,3
продать,3
смысл,3
благополучие,3
капризный,3
принести,3
которую,3
чистый,3
жить,3
ребёночек,3
вежливы,3
сегмент,3
надевать,3
откройте,3
мега,3
посоветую,3
категория,3
недорогой,3
ожидание,3
расстраивать,3
выпустить,3
плечо,3
следить,3
пустой,3
рюкзак,3
приду,3
уютно,3
расположение,3
лично,3
которое,3
заглядывать,3
середина,3
недостаточный,3
топ,3
меньше,3
содержание,3
шерсть,3
слышать,3
куча,3
нашивка,3
самом,3
код,3
предупредить,3
русский,3
сообщить,3
вводить,3
душно,3
рассматривать,3
необходимость,3
трудность,3
новгород,3
недавно,3
удовлетворять,3
раскупать,3
примерочные,3
самого,3
женский,3
дважды,3
факт,3
жилет,3
свитер,3
тяжёлый,3
закончиться,3
запас,3
повести,3
оценить,3
выбранной,3
выгодно,3
доя,3
период,3
плотный,3
электронный,3
внутри,3
молодой,3
корректный,3
поход,3
orbi,3
понимание,3
обожать,3
мешок,3
район,3
помнить,3
народ,3
позитивный,3
доп,3
обходительный,3
тип,3
запрос,3
планка,3
присутствие,3
бельё,3
правильный,3
благ,3
демисезонный,3
девушкаконсультант,3
многодетный,3
присутствовать,3
навязывание,3
сесть,3
приемлемая,3
рабочий,3
течении,3
скорее,3
весенний,3
прям,3
особо,3
менять,3
высоковатый,3
отвратительный,3
красиво,3
свитшоты,3
закрываться,3
вайлдберрис,3
производитель,3
снижать,3
сити,3
подарки,3
пользуемся,3
диапазон,3
предоставить,3
поработать,3
пополнять,3
уверена,3
радость,3
пошире,3
шарф,3
ввести,3
синтетика,3
молодёжь,3
синтетик,3
спорт,3
трк,3
конкретно,3
этикетка,3
рядом,3
вашем,3
одевала,3
сквозь,3
зуб,3
пуговица,2
привозить,2
кусается,2
наладить,2
показывать,2
применить,2
ограничить,2
доработать,2
менеджер,2
оперативно,2
завышать,2
делиться,2
особенный,2
фото,2
увеличивать,2
отдать,2
клиентоориентированность,2
близким,2
частичный,2
смоленск,2
поддержка,2
сформировать,2
улучшение,2
компетенция,2
новосибирск,2
технический,2
добавлять,2
сыктывкар,2
набрать,2
логистика,2
рано,2
опрос,2
происходить,2
компьютер,2
дорога,2
разбиваться,2
способ,2
повседневную,2
связаться,2
выходной,2
горячий,2
линия,2
делить,2
женщина,2
интернетмагазин,2
аккуратный,2
владивосток,2
сохранять,2
нить,2
которой,2
мелкий,2
пятно,2
разглядывать,2
выход,2
незначительный,2
которых,2
проживать,2
область,2
порекомендовать,2
похожий,2
функциональный,2
доработайте,2
окончательный,2
выдавать,2
настройка,2
тм,2
захотеть,2
другому,2
комбинезон,2
ребята,2
пункт,2
приветственный,2
отталкивать,2
глючит,2
вновь,2
саратов,2
прямой,2
позвонить,2
постараться,2
объяснение,2
сложность,2
предыдущий,2
дёшево,2
шире,2
тренде,2
каталог,2
уважение,2
богатый,2
продавецы,2
владимир,2
тепло,2
располагать,2
прийду,2
пополнить,2
обширный,2
классика,2
прекрасные,2
объявление,2
акционный,2
навязчивость,2
обращение,2
расположены,2
дарите,2
применять,2
почемуто,2
wb,2
спина,2
английский,2
поздороваться,2
нуждаться,2
смущать,2
михайлов,2
ужасно,2
татьяна,2
кепка,2
человеческий,2
панамка,2
сшить,2
вероятно,2
зеленопарк,2
проконсультировать,2
наличка,2
аура,2
павильон,2
увы,2
планировать,2
детишки,2
обнулялись,2
продавцы,2
шов,2
теряться,2
заменить,2
обратиться,2
нему,2
визит,2
искренний,2
ульяне,2
проявить,2
глубокий,2
знание,2
ценный,2
бомберов,2
списываться,2
обо,2
всём,2
составление,2
витрина,2
занимать,2
подарочный,2
сертификат,2
имя,2
полезный,2
наиболее,2
интернетмагазином,2
зачисляются,2
поясе,2
использование,2
разница,2
продлить,2
качестве,2
купальник,2
шорт,2
облегчать,2
практичный,2
представленность,2
ориентироваться,2
данную,2
анкета,2
потрогать,2
расширяйте,2
изумительный,2
консультировать,2
небо,2
отличие,2
складываться,2
садиться,2
юный,2
серебряный,2
потребоваться,2
комментировать,2
май,2
клиентоориентированный,2
порекомендую,2
данным,2
ростов,2
самая,2
вежлива,2
большемерят,2
начислить,2
якобы,2
промежуточный,2
мал,2
велик,2
клетка,2
ребят,2
галстук,2
форме,2
одеться,2
успевать,2
заранее,2
дача,2
процветать,2
пропадать,2
поездка,2
трендовая,2
реагировать,2
уведомить,2
домашний,2
классно,2
упаковка,2
завезти,2
наклейка,2
оплатой,2
зависнуть,2
вина,2
план,2
действительно,2
гулливер,2
заканчивать,2
выражать,2
разбираться,2
редкость,2
комфортно,2
довольна,2
сложиться,2
безупречно,2
перестать,2
шустрый,2
другая,2
колоться,2
индивидуальность,2
катышек,2
июль,2
курткой,2
ассортемента,2
навязывать,2
отказать,2
откладывать,2
остальные,2
пространство,2
присылать,2
указывать,2
тесновато,2
заметно,2
посещении,2
язык,2
огорчать,2
принятие,2
покупке,2
сообщать,2
заблуждение,2
закупаемся,2
брат,2
людмила,2
посоветуем,2
идём,2
наличный,2
сориентироваться,2
сорочка,2
однако,2
столкнуться,2
многим,2
дополнительный,2
мир,2
мужской,2
рубашкам,2
чуточку,2
разработать,2
бесплатно,2
текущий,2
девушкиконсультанты,2
тренд,2
труд,2
воротник,2
прохладный,2
творческий,2
привередливый,2
закрытие,2
монохромный,2
позволять,2
синтетический,2
достигнуть,2
чеке,2
обман,2
затяжка,2
хотелосьбы,2
разгар,2
дополнить,2
самых,2
расстроить,2
счёт,2
август,2
катышки,2
льняной,2
кэш,2
однообразный,2
кассир,2
частность,2
го,2
нечего,2
обойти,2
кабинка,2
немногих,2
знакомый,2
кроссовки,2
инцидент,2
обмен,2
зря,2
полчаса,2
ими,2
вежливые,2
общем,2
другое,2
душа,2
здороваться,2
скидок,2
парк,2
тон,2
мегу,2
занять,2
обувной,2
рожок,2
краска,2
чёткий,2
шопинг,2
нога,2
рекламный,2
примерно,2
точный,2
примерить,2
относиться,2
нитки,2
гибкий,2
целый,2
тп,2
вперёд,2
спешить,2
пройдём,2
магазиннашли,2
уехать,2
бесформенный,2
курточка,2
облезть,2
баллы,2
крайний,2
мера,2
результат,2
подклада,2
завышенная,2
посетитель,2
сдавать,2
выручка,2
дыбенко,2
молнии,2
вдохновение,2
обращаться,2
премия,2
поменять,2
кассовый,2
обходить,2
стойка,2
иначе,2
столько,2
негде,2
ростовкой,2
сумка,2
принты,2
рассчитать,2
учебный,2
сила,2
ps,2
оrby,2
разочарование,2
бежать,2
ом,2
перезвонить,2
проводиться,2
перемещение,2
улыбчивый,2
приветливость,2
обходительность,2
направить,2
куртками,2
продавщица,2
хорошое,2
кофточка,2
заплатить,2
впечатлить,2
колготки,2
слабый,2
придумать,2
увеличиться,2
несмотря,2
нюанс,2
одному,2
чудо,2
произвести,2
одновременно,2
оправдать,2
персонаж,2
товаре,2
оптимальный,2
нынешний,2
дизайнер,2
придерживать,2
одеваемся,2
пятеро,2
брюками,2
знакомство,2
продвигаться,2
максимум,2
альпинист,2
начинаться,2
ростовки,2
продаваться,2
наконецто,2
свойство,2
замена,2
рассказывать,2
спрашивать,2
завесить,2
относительно,2
подвести,2
совершение,2
скидочка,2
единичный,2
отличная,2
расширенный,2
оказываться,2
остальное,2
отказываться,2
картинка,2
креатив,2
нестандартный,2
стандартный,2
невозможность,2
сдача,2
дополнительно,2
тёмный,2
волос,2
разбирать,2
бомба,2
открыться,2
учесть,2
пойти,2
прикольный,2
таки,2
жилетка,2
касество,2
похвал,2
принтами,2
экземпляр,2
горнолыжный,2
аналогичный,2
наоборот,2
уменьшить,2
продавать,2
поднимать,2
размерной,2
брюкам,2
звать,2
уделить,2
оставлять,2
швы,2
примерочную,2
гость,2
вечер,2
лекала,2
отворот,2
ширина,2
ооочень,2
цель,2
чутьчуть,2
подорожать,2
описать,2
зеркало,2
запланировать,2
подумайте,2
польза,2
дискомфорт,2
настолько,2
правило,2
технологичный,2
узнавать,2
выпускать,2
топы,2
утеплить,2
регион,2
приемлемые,2
конкурент,2
светоотражающий,2
открытый,2
оперативный,2
альтернатива,2
ощущение,2
примерять,2
вокзал,2
космос,2
уговорить,2
кофт,2
свободный,2
отправить,2
апрель,2
поведение,2
дойти,2
продиктовать,2
загрезнения,2
столб,1
стена,1
оторвать,1
угол,1
пришить,1
дёрнуть,1
отваливаются,1
разбивка,1
приобретай,1
расцветкой,1
давольно,1
привозим,1
выбранный,1
оправдывать,1
пользаваться,1
акциями,1
кое,1
магазинамприедешь,1
наличииа,1
нетпечально,1
четко,1
управление,1
решала,1
проблемки,1
спокойный,1
решаемо,1
поддавалось,1
корректировка,1
мои,1
всеми,1
сочетать,1
миксовать,1
списаня,1
списатьтакже,1
списалисьв,1
начало,1
доставляться,1
городхотя,1
ребёнкуподростку,1
выдаёт,1
оформляла,1
близкие,1
замер,1
охото,1
скупить,1
расшифровка,1
продлиться,1
интернетмагазина,1
оффлайнмагазинах,1
сег,1
внесение,1
удаляться,1
удалить,1
всегла,1
пооучается,1
накопленными,1
процветанияи,1
бер,1
сюрприз,1
предупреждение,1
неизменно,1
однотонной,1
твой,1
отсечка,1
добавление,1
неинформативный,1
сократить,1
штучками,1
прислать,1
одинаково,1
обновление,1
периодически,1
нажатие,1
рости,1
напрягать,1
разбивать,1
обнуляется,1
версия,1
скачала,1
житель,1
подмосковье,1
самую,1
значить,1
расход,1
нетерпение,1
долговечный,1
доля,1
отшивались,1
понедельник,1
странно,1
проподают,1
расшмрить,1
тимент,1
красноярск,1
курьерский,1
отшивать,1
мужчина,1
подстраиваться,1
давольна,1
валберис,1
нежели,1
напрямую,1
почтамт,1
применение,1
декабрь,1
отверстие,1
понадеявшись,1
оттуда,1
както,1
некорректный,1
контакт,1
центре,1
кажду,1
денница,1
гнал,1
истирать,1
штука,1
держите,1
стёганый,1
замокмолния,1
вшит,1
двойной,1
кривой,1
прошитавиляет,1
вертикаль,1
стёжка,1
фонарикиволна,1
косит,1
вдоль,1
перламутровый,1
прокраса,1
перламутрагдето,1
гдето,1
еле,1
замыть,1
изделияне,1
стираться,1
перламутр,1
край,1
прошить,1
неттолько,1
следыдырки,1
лучшенужен,1
отк,1
называть,1
отбраковывать,1
пересылка,1
отправка,1
подружиться,1
укупить,1
выезжать,1
мурманск,1
скачали,1
кирпичниковой,1
мария,1
начнёшь,1
перебирать,1
доставлять,1
людмилу,1
констультацию,1
установка,1
выдаваться,1
одеждыредко,1
встретишь,1
обрабатывали,1
хранение,1
наполнение,1
восхищаться,1
распродаже,1
бесплат,1
уде,1
дробить,1
заберу,1
копейка,1
беречь,1
вона,1
положить,1
безрезультатно,1
сбиваться,1
поменяю,1
облизаться,1
россиии,1
подруга,1
логитикой,1
логичный,1
чита,1
отказ,1
отличнонам,1
уклассах,1
размеровда,1
прочь,1
оюбим,1
сорваться,1
промокод,1
моём,1
ребёнке,1
связываться,1
шанс,1
приглянется,1
мериешь,1
гомска,1
обратный,1
обновлять,1
переустанавливать,1
прилодение,1
автоматически,1
добавляло,1
иной,1
сомнение,1
порог,1
определить,1
набережный,1
чёлн,1
вещичка,1
казань,1
прописать,1
проблематично,1
требоваться,1
перенаправлять,1
страница,1
завершение,1
присваиваться,1
вылетать,1
утромутром,1
обьяснить,1
закончить,1
настаивать,1
требовать,1
формироваться,1
поставить,1
непосредственно,1
развиваетесь,1
доверять,1
выбираться,1
пвз,1
абсолютно,1
зайдешь,1
моб,1
бонусовначинаешь,1
отношениекому,1
играть,1
кошкимышки,1
называться,1
расшить,1
параметр,1
вышем,1
впихнуть,1
поменяться,1
лице,1
мобильном,1
списанииужасно,1
приветствие,1
фамилия,1
расширенная,1
некомпетентный,1
безинициативные,1
колл,1
самой,1
решать,1
клёвый,1
украшение,1
замечательноочень,1
найдётся,1
доброжилательная,1
отличнокачественна,1
доооже,1
представленный,1
продукт,1
освещение,1
открытие,1
югозападе,1
санктпетербурга,1
ассортиментвключить,1
тоесть,1
экология,1
акцие,1
широк,1
броситься,1
понравтлось,1
расказывает,1
пусто,1
отлучиться,1
прадовцы,1
катушка,1
проконсултировал,1
излишний,1
накопительный,1
андрианов,1
кристина,1
предусмотрителен,1
наваливал,1
замотивировал,1
дорос,1
отшиваться,1
мальчиковподростков,1
пополнение,1
коечто,1
черезчур,1
эльзе,1
полина,1
хотелками,1
текст,1
китайский,1
иероглиф,1
вход,1
екатеринбурге,1
аещей,1
магазинчасто,1
одеждувежливый,1
персоналвсегда,1
ценниках,1
чрезмерно,1
внимательные,1
убирать,1
прилипнуть,1
приставать,1
олеся,1
александровна,1
офлайн,1
забывать,1
каменев,1
своём,1
вечно,1
малы,1
послевкусье,1
повысить,1
максим,1
александрович,1
бирюков,1
сделаете,1
намерение,1
приодеть,1
продавцаконсультанта,1
ирина,1
угода,1
порадовал,1
зарегистрировать,1
регистрировалась,1
инетмагазине,1
интересоваться,1
приобрелисразу,1
возможно,1
промежуток,1
единственноехотелось,1
выбить,1
понятно,1
фефелова,1
лилли,1
югановна,1
эквайрингу,1
расплатиться,1
касаемо,1
располагаться,1
визуально,1
платонов,1
анна,1
федоровна,1
изюминка,1
однократно,1
жилин,1
александровнв,1
одеваеся,1
юриевич,1
толстовкам,1
джинсах,1
собачка,1
застёгивать,1
ателье,1
сломаться,1
коллаже,1
распашные,1
шаг,1
просмотр,1
карточка,1
улетать,1
незаменимый,1
расмотрите,1
длительный,1
бонуснов,1
хотябы,1
ефремов,1
владимирович,1
устпоило,1
срабатывать,1
скан,1
глубь,1
еслибы,1
ради,1
интерес,1
дальний,1
коридор,1
существование,1
новосибирский,1
растем,1
распологает,1
бизнесе,1
применяться,1
работница,1
продемонстрировать,1
забота,1
деталь,1
предпочтение,1
исследовать,1
искренне,1
актив,1
доброта,1
готовность,1
расширенной,1
модеых,1
светлана,1
клопковых,1
солнце,1
моментально,1
выцветать,1
коричневатолинялого,1
оттенок,1
многократно,1
осмотреться,1
ознакомиться,1
погода,1
изменива,1
холодный,1
аналогично,1
основный,1
яркостьнеобычность,1
дольнейшего,1
одежжда,1
блин,1
понизить,1
выполнить,1
превосходный,1
поиске,1
превратиться,1
определенно,1
профессионала,1
готового,1
втихаря,1
втюхали,1
блокнот,1
лёня,1
пожеланиерасширение,1
зайду,1
использоваться,1
проконсультировали,1
лён,1
сегоднешний,1
остаткам,1
свободнее,1
окружность,1
живот,1
осенние,1
выравниваться,1
дочу,1
доход,1
держатель,1
обслуживании,1
заире,1
оперативность,1
рассылать,1
сохранение,1
оченьидавно,1
рада,1
кеш,1
набор,1
близняшка,1
развесить,1
хорошай,1
кэшбек,1
всë,1
вб,1
сориентировали,1
торопиться,1
удивиться,1
расшириться,1
радостный,1
хороштй,1
расширяться,1
смотрю,1
приближаться,1
платьями,1
покупателе,1
скорый,1
встреча,1
ознакомила,1
неравнодушие,1
искренность,1
кране,1
некомфортный,1
осений,1
речь,1
альтернативный,1
неактуальный,1
физический,1
гоняться,1
инетприложениям,1
осмысливать,1
земля,1
трц,1
рр,1
проностью,1
расхваливать,1
еёлишь,1
молдова,1
ть,1
неоценимый,1
особе,1
стульчик,1
мадам,1
панама,1
поехать,1
специально,1
срочно,1
удивлены,1
сдаться,1
доступно,1
отходить,1
раздражать,1
адекватныев,1
представленном,1
познакомиться,1
народный,1
магазинаего,1
списаться,1
заграничный,1
вобщем,1
продавецпожеланияпобольше,1
владеть,1
великолепно,1
портфель,1
ребеккой,1
уверенный,1
наверно,1
товары,1
числиться,1
триумфе,1
самыесамые,1
пятипроцентной,1
руковов,1
вылазит,1
рукова,1
узковаты,1
проработайте,1
джинсыочень,1
удовольствиемперсонал,1
компетентенспасибо,1
подсказала,1
шмотки,1
